#{"t_start": 1780398861.2305164, "env_id": "None"}
r,l,t
27.0455,50,113.285167
28.458286,50,113.408399
-10.319507,90,113.559251
-11.468583,145,113.559296
25.590265,56,113.702547
23.886686,61,113.70261
27.486654,37,113.84629
-4.9783797,135,113.956077
32.13371,32,114.070951
-93.56973,200,114.24601
41.262806,18,114.246045
19.963263,67,114.379101
32.02795,39,114.545768
5.676181,112,114.545805
33.76158,31,114.545814
23.047588,51,114.674117
12.159214,84,114.674173
-101.37165,200,114.782482
36.91892,26,114.923682
-126.26171,200,115.059335
-116.596146,200,115.177769
33.408653,42,115.290153
38.156364,22,115.421787
-38.742687,184,115.542973
22.072153,69,115.69579
37.308357,24,115.695842
11.830368,69,115.812743
34.593086,35,115.948328
22.239853,63,116.044267
25.21185,52,116.171081
-131.08105,200,116.290201
20.063128,57,116.409773
36.3886,32,116.581029
-0.5446891,118,116.732686
-93.20306,200,116.840296
24.921663,57,116.9427
-93.76478,200,117.073191
30.529524,34,117.201639
17.349228,75,117.308302
27.343964,49,117.429363
-130.79918,200,117.548017
32.43249,37,117.671153
10.942095,83,117.801013
-89.61513,200,117.927992
-14.0201645,134,118.076646
32.09819,35,118.214712
11.530555,92,118.385085
35.55915,31,118.53779
0.84672666,104,118.698946
-44.636,146,118.810345
-61.690426,190,118.930926
15.005904,84,119.042934
32.990906,30,119.178052
-13.331647,131,119.299482
21.43467,59,119.43274
-1.8078521,107,119.570872
35.070774,26,119.734085
-93.43461,200,119.734125
32.04176,32,119.85804
29.995993,35,119.979096
-12.928544,105,120.110495
-80.16723,200,120.110535
-22.326178,158,120.227182
-19.741413,152,120.336661
-10.954157,128,120.484527
26.92984,43,120.484582
38.972202,22,120.585566
1.624048,95,120.702626
39.70667,20,120.81807
6.7321596,94,120.960066
-112.54325,200,120.960119
22.00286,61,121.090702
-589.92413,200,121.23075
24.26751,66,121.35828
27.407562,45,121.460034
-5.974046,139,121.594727
5.2748723,104,121.718469
38.744736,21,121.850735
-139.79082,200,121.952262
-33.44104,183,122.08388
-140.44684,200,122.083924
31.298506,35,122.212414
-12.371392,141,122.363491
31.565258,41,122.363662
32.083508,34,122.464255
38.97198,20,122.590204
19.806097,70,122.724181
21.685919,49,122.724223
-152.14528,200,122.885057
-98.3198,200,122.885091
30.955523,37,123.036976
35.041386,25,123.037044
33.24283,31,123.200069
3.9719512,68,123.317809
39.80991,21,123.317852
27.757053,40,123.437467
17.346455,77,123.585783
28.74557,51,123.711741
16.30982,71,123.850535
30.089687,42,127.547761
23.742231,58,127.693451
36.09579,25,127.693522
-97.32918,200,127.693533
-67.7664,177,127.803595
-38.01408,192,127.944402
34.12802,28,128.115261
-0.6496401,116,128.218702
20.397505,64,128.352646
5.9379816,97,128.495458
-40.634823,147,128.616897
-130.75597,200,128.779009
35.02419,31,128.901141
32.737,41,129.009768
38.00798,27,129.153454
-15.39574,133,129.279934
28.35432,38,129.381267
0.032333147,112,129.522234
-29.495508,136,129.522279
0.6886704,130,129.672383
11.144373,88,129.801907
-167.02948,200,129.898249
20.954992,58,130.010775
-268.63278,200,130.158708
30.365314,48,130.158747
20.023697,67,130.268744
34.11957,32,130.377071
25.431597,53,130.498201
-6.2845244,102,130.616999
4.364036,100,130.779925
32.975674,43,130.9119
-28.906622,123,131.033067
32.124413,39,131.199075
-12.259441,76,131.304403
34.97702,33,131.407532
23.961708,67,131.540291
-39.187614,159,131.648223
25.627438,49,131.845203
36.651936,28,131.956812
-115.25127,200,132.056494
21.291918,55,132.178094
-107.14953,200,132.298943
33.16251,31,132.4186
23.72794,40,132.530357
39.74021,24,132.530404
1.170744,125,132.65524
27.702211,52,132.790572
36.153988,27,132.927571
-145.73636,200,132.927613
27.95441,40,133.045509
-17.174788,137,133.045565
11.708506,105,133.194034
8.308583,92,133.314167
15.02741,80,133.314202
38.798004,23,133.420069
37.26809,28,133.573243
34.285515,34,133.734615
-8.138327,102,133.856731
24.66057,53,134.016595
35.3876,27,134.01666
36.383144,27,134.143125
-7.1280046,118,134.252944
